Title,Year,Rating,Budget_usd,genres,awards_content
Scales,2019,5.7,99000000,"['Drama', 'Fantasy', 'Mystery']","Awards, 5 wins & 6 nominations total"
The Hopeful,2024,6.8,99000000,"['Period Drama', 'Drama']","Awards, 1 nomination total"
Iron Island,2005,7.2,989000,['Drama'],"Awards, 8 wins & 3 nominations total"
Song of Granite,2017,6.6,98000000,"['Biography', 'Drama']","Awards, 1 win & 8 nominations total"
Al qods fee yom akhar,2002,6.5,97600000,"['Comedy', 'Drama']","Awards, 5 wins & 5 nominations total"
The Man Who Shook the Hand of Vicente Fernandez,2012,6.0,97000000,"['Comedy', 'Drama', 'Western']","Awards, 1 win total"
Reel Paradise,2005,6.5,97000000,['Documentary'],
Cicada,2020,6.6,950000,"['Drama', 'Romance']","Awards, 8 wins & 5 nominations total"
Smokers Only,2001,5.0,950000,"['Drama', 'Romance']","Awards, 1 win & 2 nominations total"
I'm Glad My Mother Is Alive,2009,6.7,950000,['Drama'],"Awards, 1 win & 3 nominations total"
The Little Death,2014,7.0,950000,"['Dark Comedy', 'Comedy', 'Drama', 'Romance']","Awards, 2 wins & 10 nominations total"
Anamorph,2007,5.5,950000,"['Crime', 'Horror', 'Thriller']","Awards, 1 win total"
American Zombie,2007,5.0,950000,"['Satire', 'Comedy', 'Drama', 'Horror']",
The Tunnel,2001,7.7,95000000,"['Drama', 'History', 'Thriller']","Awards, 11 wins & 2 nominations total"
The Notebook,2013,7.0,95000000,"['Tragedy', 'Drama', 'War']","Awards, 7 wins & 4 nominations total"
Antarctic Edge: 70° South,2015,6.8,95000000,"['Adventure', 'Documentary']","Awards, 1 win & 1 nomination total"
Take Care of My Cat,2001,7.1,95000000,['Drama'],"Awards, 11 wins & 6 nominations total"
Balls to the Wall,2011,3.8,95000000,['Comedy'],
Zero Day,2002,7.2,95000000,['Drama'],"Awards, 7 wins & 1 nomination total"
Lamb,2015,6.3,95000000,"['Road Trip', 'Tragedy', 'Drama']","Awards, 4 wins & 5 nominations total"
La strada di Levi,2006,6.4,95000000,['Documentary'],
A Family Affair,2001,5.1,95000000,"['Comedy', 'Romance']","Awards, 3 wins total"
"Introducing, Selma Blair",2021,7.8,95000000,['Documentary'],"Awards, 6 wins & 5 nominations total"
Kung Fu Joe,2009,2.3,95000000,['Comedy'],
Bending the Arc,2017,8.0,95000000,['Documentary'],"Awards, 1 win & 1 nomination total"
Apart,2011,5.3,944149,"['Drama', 'Mystery', 'Romance', 'Thriller']","Awards, 1 nomination total"
High Times Potluck,2002,4.8,94000000,"['Dark Comedy', 'Stoner Comedy', 'Comedy', 'Crime']","Awards, 5 wins total"
Farewell Amor,2020,6.9,94000000,"['Drama', 'Music', 'Romance']","Awards, 10 wins & 8 nominations total"
"Tomorrow, When the War Began",2010,6.1,94000000,"['Action', 'Adventure', 'Drama', 'Romance', 'Sci-Fi', 'Thriller', 'War']","Awards, 8 wins & 14 nominations total"
Red,2008,6.9,94000000,"['Drama', 'Thriller']","Awards, 1 win & 2 nominations total"
The Good Doctor,2011,5.5,94000000,"['Medical Drama', 'Drama', 'Mystery', 'Thriller']","Awards, 6 nominations total"
Universal Soldier: Day of Reckoning,2012,5.1,930000,"['Action', 'Horror', 'Mystery', 'Sci-Fi', 'Thriller']",
A Wedding Invitation,2013,6.0,93000000,"['Drama', 'Romance']","Awards, 1 nomination total"
Home of the Brave,2004,7.3,93000000,['Documentary'],"Awards, 1 win & 3 nominations total"
Indian Point,2015,6.6,93000000,"['News', 'Documentary']","Awards, 1 win & 2 nominations total"
Love at First Fight,2014,6.6,93000000,"['Adventure', 'Comedy', 'Romance']","Awards, 14 wins & 17 nominations total"
Box Elder,2008,7.2,93000000,['Comedy'],
Quiet Chaos,2008,6.8,93000,"['Drama', 'Romance']","Awards, 16 wins & 33 nominations total"
Campus Radio,2011,7.8,92000000,"['Comedy', 'Drama', 'Music', 'Romance']",
Cockfight,2001,6.2,92000000,['Thriller'],"Awards, 1 nomination total"
Red Lights,2004,6.6,92000000,"['Crime', 'Drama', 'Mystery', 'Thriller']","Awards, 2 nominations total"
Watercolors,2008,6.4,92000000,"['Drama', 'Romance']","Awards, 12 wins total"
In Another Country,2012,6.4,900000,['Drama'],"Awards, 1 win & 11 nominations total"
Looking for Kitty,2004,6.0,900000,"['Comedy', 'Drama']",
Leonor Will Never Die,2022,6.6,900000,"['Action', 'Comedy', 'Drama']","Awards, 20 wins & 45 nominations total"
Crime After Crime,2011,7.6,900000,"['News', 'Biography', 'Crime', 'Documentary']","Awards, 16 wins & 2 nominations total"
Full Battle Rattle,2008,6.6,900000,"['Political Documentary', 'Documentary']","Awards, 1 win & 3 nominations total"
The Miners' Hymns,2010,7.3,900000,"['Documentary', 'Drama']","Awards, 1 nomination total"
The Invisible Fight,2023,5.9,900000,"['Action', 'Comedy']","Awards, 12 wins & 9 nominations total"
YPF,2007,6.2,900000,"['Comedy', 'Drama', 'Romance']","Awards, 5 wins & 2 nominations total"
"No Pay, Nudity",2016,5.8,900000,"['Comedy', 'Drama']","Awards, 1 win total"
In the Mirror of Maya Deren,2001,7.3,900000,"['Biography', 'Documentary']","Awards, 1 win total"
Hounds,2023,6.3,900000,"['Crime', 'Drama', 'Thriller']","Awards, 7 wins & 8 nominations total"
Devils on the Doorstep,2000,8.2,900000,"['Dark Comedy', 'Satire', 'Comedy', 'Drama', 'War']","Awards, 7 wins & 3 nominations total"
Vexille,2007,6.7,900000,"['Computer Animation', 'Action', 'Animation', 'Sci-Fi']",
Glitter & Doom,2023,6.5,90000000,"['Musical', 'Romance']","Awards, 5 wins total"
Burden,2016,7.0,90000000,"['Biography', 'Documentary']","Awards, 1 nomination total"
Special,2006,6.7,90000000,"['Comedy', 'Drama', 'Sci-Fi']","Awards, 1 win & 4 nominations total"
Guy and Madeline on a Park Bench,2009,6.0,90000000,"['Drama', 'Musical']","Awards, 2 wins & 5 nominations total"
Be Natural: The Untold Story of Alice Guy-Blaché,2018,7.7,90000000,"['Biography', 'Documentary', 'History']","Awards, 11 wins & 11 nominations total"
XXY,2007,7.0,90000000,"['Drama', 'Romance']","Awards, 33 wins & 18 nominations total"
There Is No Evil,2020,7.5,90000000,['Drama'],"Awards, 18 wins & 10 nominations total"
The Conrad Boys,2006,5.9,90000000,"['Drama', 'Romance']",
Lunacy,2005,7.1,90000000,"['Dark Comedy', 'Stop Motion Animation', 'Animation', 'Comedy', 'Drama', 'Horror']","Awards, 8 wins & 7 nominations total"
Beauty Remains,2005,5.7,90000000,['Drama'],"Awards, 1 nomination total"
Night Across the Street,2012,6.1,90000000,"['Comedy', 'Drama', 'Fantasy']","Awards, 1 win & 6 nominations total"
Shooting the Mafia,2019,6.8,90000000,['Documentary'],"Awards, 3 wins & 8 nominations total"
Mongolian Ping Pong,2005,6.5,90000000,"['Comedy', 'Drama']","Awards, 3 wins & 5 nominations total"
Next Exit,2022,5.6,90000000,"['Suspense Mystery', 'Comedy', 'Mystery', 'Romance', 'Sci-Fi']","Awards, 1 win & 1 nomination total"
Deliver Us,2023,4.8,90000000,['Horror'],"Awards, 1 nomination total"
The Romans,2014,6.2,90000000,['Drama'],
Crazy Eyes,2012,4.0,90000000,['Comedy'],"Awards, 1 win & 1 nomination total"
Short Cut to Nirvana: Kumbh Mela,2004,7.1,90000000,['Documentary'],"Awards, 2 wins total"
Total Trust,2023,7.1,90000000,['Documentary'],"Awards, 6 wins & 8 nominations total"
Broker,2022,7.1,90000000,"['Comedy', 'Crime', 'Drama']","Awards, 11 wins & 30 nominations total"
Banel & Adama,2023,6.3,90000000,['Drama'],"Awards, 3 wins & 12 nominations total"
The Inheritance,2003,7.2,90000000,['Drama'],"Awards, 17 wins & 7 nominations total"
Elstree 1976,2015,5.9,90000000,"['Documentary', 'Sci-Fi']",
Rebels on Pointe,2017,7.4,90000000,['Documentary'],"Awards, 3 wins & 2 nominations total"
The Monsters Without,2021,4.9,90000000,"['Adventure', 'Fantasy', 'Sci-Fi']","Awards, 3 wins & 2 nominations total"
Remembering Gene Wilder,2023,7.8,90000000,"['Biography', 'Documentary']","Awards, 8 wins total"
Flash Point,2007,6.7,90000000,"['Martial Arts', 'Action', 'Crime', 'Thriller']","Awards, 3 wins & 2 nominations total"
Kill Your Idols,2004,6.4,90000000,"['Documentary', 'Music']","Awards, 1 win & 1 nomination total"
Marwencol,2010,7.5,90000000,"['Biography', 'Documentary', 'Fantasy']","Awards, 21 wins & 11 nominations total"
The Misandrists,2017,5.0,90000000,"['Comedy', 'Drama']","Awards, 4 nominations total"
Charlotte Sometimes,2002,6.3,90000000,"['Drama', 'Romance']","Awards, 3 wins & 2 nominations total"
Suspended Animation,2001,5.3,90000000,['Thriller'],
Bab'Aziz: The Prince That Contemplated His Soul,2005,7.5,90000000,['Drama'],"Awards, 3 wins & 1 nomination total"
Keyhole,2011,5.4,90000000,"['Drama', 'Thriller']","Awards, 1 win & 3 nominations total"
Cinema Sabaya,2021,7.1,90000000,['Drama'],"Awards, 7 wins & 10 nominations total"
The Ground Beneath My Feet,2019,6.5,90000000,['Drama'],"Awards, 4 wins & 20 nominations total"
August Evening,2007,6.8,90000000,['Drama'],"Awards, 6 wins & 2 nominations total"
The Guillotines,2012,4.8,90000000,"['Action', 'Drama']","Awards, 5 nominations total"
Marlina the Murderer in Four Acts,2017,6.9,90000000,"['Drama', 'Thriller', 'Western']","Awards, 27 wins & 41 nominations total"
Mojave,2015,5.2,90000000,"['Action', 'Adventure', 'Crime', 'Drama', 'Mystery', 'Thriller']",
Zero Bridge,2008,5.8,9900000,['Drama'],"Awards, 6 nominations total"
Tony Manero,2008,6.8,9900000,"['Dark Comedy', 'Drama', 'Music']","Awards, 16 wins & 15 nominations total"
My Dearest Fu Bao,2024,7.1,9900000,['Documentary'],
Requiem,2006,6.8,9800000,"['Drama', 'Horror']","Awards, 16 wins & 19 nominations total"
Old Joy,2006,6.8,9750000,['Drama'],"Awards, 5 wins & 5 nominations total"
The Roads Not Taken,2020,5.2,9750000,['Drama'],"Awards, 2 nominations total"
The Day He Arrives,2011,7.0,9704200,"['Comedy', 'Drama']","Awards, 3 wins & 5 nominations total"
"Sia, the Dream of the Python",2001,6.7,9700000,['Drama'],"Awards, 5 wins & 3 nominations total"
Blessed Is the Match,2008,7.1,9600000,"['Biography', 'Documentary', 'History']","Awards, 1 win total"
Body of War,2007,7.8,9600000,"['Documentary', 'War']","Awards, 2 wins & 3 nominations total"
Still Here,2020,5.5,9591845,"['Crime', 'Drama']","Awards, 1 nomination total"
Cherry Blossoms,2008,7.6,9500000,"['Drama', 'Romance']","Awards, 8 wins & 8 nominations total"
Futuro Beach,2014,6.3,9500000,"['Tragedy', 'Drama', 'Romance']","Awards, 11 wins & 20 nominations total"
Vanished Empire,2008,6.8,9500000,['Drama'],"Awards, 2 wins & 7 nominations total"
Chicken for Linda!,2023,7.0,9500000,"['Animation', 'Comedy', 'Musical']","Awards, 8 wins & 14 nominations total"
Her Majesty,2001,6.9,9500000,['Family'],"Awards, 16 wins & 5 nominations total"
Genghis Khan: To the Ends of the Earth and Sea,2007,6.2,9500000,"['Action', 'Adventure', 'Drama', 'History', 'War']",
The Third Wife,2018,6.6,9400000,['Drama'],"Awards, 10 wins & 19 nominations total"
Roseanne for President!,2015,5.0,9370000,"['Biography', 'Comedy', 'Documentary']","Awards, 1 win total"
Tremors,2019,6.6,9200000,['Drama'],"Awards, 14 wins & 19 nominations total"
Humor Me,2017,6.1,9000000,['Comedy'],"Awards, 1 win & 1 nomination total"
Unnatural & Accidental,2006,4.7,9000000,"['True Crime', 'Crime', 'Drama', 'Mystery']","Awards, 6 wins & 11 nominations total"
November,2017,7.1,9000000,"['Folk Horror', 'Drama', 'Fantasy', 'Horror', 'Romance']","Awards, 25 wins & 7 nominations total"
Ethan Mao,2004,6.1,9000000,"['Crime', 'Drama', 'Thriller']","Awards, 1 win total"
Therapy for a Vampire,2014,6.3,9000000,"['Comedy', 'Horror']","Awards, 1 win & 3 nominations total"
Michael,2011,6.9,9000000,"['Drama', 'Thriller']","Awards, 6 wins & 11 nominations total"
Porn Theatre,2002,6.1,9000000,['Drama'],"Awards, 3 wins & 1 nomination total"
Sex Is Comedy,2002,5.7,9000000,"['Comedy', 'Drama', 'Romance']","Awards, 1 nomination total"
30 Years to Life,2001,5.9,9000000,"['Comedy', 'Drama', 'Romance']","Awards, 1 win & 3 nominations total"
Bad Grandmas,2017,4.6,9000000,"['Action', 'Comedy', 'Crime']",
Let the Little Light Shine,2022,7.4,9000000,['Documentary'],"Awards, 1 nomination total"
The Price of Sugar,2007,7.4,9000000,['Documentary'],"Awards, 2 wins & 1 nomination total"
Tamala 2010: A Punk Cat in Space,2002,6.4,9000000,"['Anime', 'Animation', 'Comedy', 'Drama', 'Fantasy', 'Sci-Fi']","Awards, 2 wins total"
Only the Animals,2019,7.1,9000000,"['Heist', 'Crime', 'Drama', 'Mystery', 'Thriller']","Awards, 3 wins & 7 nominations total"
Inch'Allah,2012,6.8,9000000,['Drama'],"Awards, 5 wins & 16 nominations total"
Nijinsky: The Diaries of Vaslav Nijinsky,2001,6.4,9000000,"['Biography', 'Documentary', 'Music']","Awards, 1 win & 2 nominations total"
Speed-Dating,2009,2.8,9000000,"['Comedy', 'Romance', 'Thriller']",
The Perfect Race,2019,6.7,9000000,"['Teen Drama', 'Drama', 'Sport']",
Stephanie Daley,2006,6.2,9000000,['Drama'],"Awards, 5 wins & 5 nominations total"
Italian Studies,2021,4.7,9000000,['Drama'],
The Method,2005,7.1,9000000,"['Drama', 'Thriller']","Awards, 11 wins & 14 nominations total"
Intuitions,2019,3.6,9000000,"['Romance', 'Thriller']","Awards, 8 wins & 6 nominations total"
Sex Positive,2008,6.6,9000000,['Documentary'],"Awards, 1 win & 1 nomination total"
Vita & Virginia,2018,5.9,9000000,"['Biography', 'Drama', 'Romance']","Awards, 1 win & 2 nominations total"
Horse Money,2014,6.9,9000000,['Drama'],"Awards, 22 wins & 21 nominations total"
Made in Cleveland,2013,4.7,9000000,['Comedy'],
California Solo,2012,6.2,9000000,['Drama'],"Awards, 3 wins & 5 nominations total"
Hell and Back Again,2011,6.4,9000000,"['Military Documentary', 'Action', 'Documentary', 'History', 'War']","Nominated for 1 Oscar, 4 wins & 9 nominations total"
The United States of Autism,2013,6.3,9000000,"['News', 'Biography', 'Documentary', 'Family']",
Blackboards,2000,6.8,9000000,"['Drama', 'War']","Awards, 3 wins & 3 nominations total"
100 Bloody Acres,2012,6.0,9000000,"['Dark Comedy', 'Comedy', 'Horror']","Awards, 1 win & 6 nominations total"
Styx,2018,6.5,9000000,"['Action', 'Crime', 'Drama', 'Thriller']","Awards, 30 wins & 20 nominations total"
Fighting for Life,2008,8.0,9000000,"['Documentary', 'War']",
Writing with Fire,2021,7.3,9000000,['Documentary'],"Nominated for 1 Oscar, 32 wins & 18 nominations total"
Back Door Channels: The Price of Peace,2009,7.3,9000000,['Documentary'],
Everything's Gone Green,2006,6.0,9000000,"['Comedy', 'Crime']","Awards, 4 wins & 7 nominations total"
The Camden 28,2007,7.3,9000000,['Documentary'],"Awards, 2 wins & 1 nomination total"
Man on a Mission: Richard Garriott's Road to the Stars,2010,6.9,9000000,['Documentary'],"Awards, 3 wins total"
Finding Mr. Right,2013,6.5,9000000,"['Comedy', 'Romance']","Awards, 16 wins & 21 nominations total"
Songs My Brothers Taught Me,2015,7.0,9000000,['Drama'],"Awards, 10 wins & 11 nominations total"
London Boulevard,2010,6.2,9000000,"['Crime', 'Drama']","Awards, 1 nomination total"
A Year Without Love,2005,6.2,9000000,"['Drama', 'Romance']","Awards, 4 wins & 5 nominations total"
Reflections of a Broken Memory,2022,7.4,9000000,"['Drama', 'Thriller']",
Touchy Feely,2013,5.3,9000000,"['Comedy', 'Drama']","Awards, 1 nomination total"
An Acceptable Loss,2018,5.5,9000000,"['Drama', 'Thriller']",
Cold Blood,2019,4.7,9000000,"['Action', 'Thriller']",
The Man in the Basement,2021,5.9,9000000,"['Drama', 'Thriller']",
Raze,2013,5.1,9000000,"['Action', 'Drama', 'Horror']","Awards, 2 wins & 2 nominations total"
Harmonium,2016,6.9,9000000,['Drama'],"Awards, 5 wins & 8 nominations total"
"Otto; or, Up with Dead People",2008,5.1,9000000,"['Satire', 'Comedy', 'Drama', 'Fantasy', 'Horror']","Awards, 1 win & 1 nomination total"
9 Dead Gay Guys,2002,6.2,9000,"['Comedy', 'Crime']","Awards, 2 wins total"
Shelter,2007,7.6,880000,"['Drama', 'Romance', 'Sport']","Awards, 11 wins total"
Home Room,2002,7.1,88000000,"['Crime', 'Drama']","Awards, 2 wins & 1 nomination total"
A Paris Education,2018,6.4,88000000,['Drama'],"Awards, 8 nominations total"
Just Another Love Story,2007,7.1,88000000,"['Crime', 'Drama', 'Thriller']","Awards, 5 wins & 9 nominations total"
Killer Raccoons! 2! Dark Christmas in the Dark!,2020,4.2,88000000,['Comedy'],
Irina Palm,2007,7.2,88000000,"['Comedy', 'Drama']","Awards, 8 wins & 7 nominations total"
Downtown Express,2011,7.9,87000000,"['Drama', 'Music', 'Romance']",
