"title","budget_usd","rating"
"Scales",99000000,"5.7"
"The Hopeful",99000000,"6.8"
"Iron Island",989000,"7.2"
"Song of Granite",98000000,"6.6"
"Al qods fee yom akhar",97600000,"6.5"
"The Man Who Shook the Hand of Vicente Fernandez",97000000,"6"
"Reel Paradise",97000000,"6.5"
"Cicada",950000,"6.6"
"Smokers Only",950000,"5"
"I'm Glad My Mother Is Alive",950000,"6.7"
"The Little Death",950000,"7"
"Anamorph",950000,"5.5"
"American Zombie",950000,"5"
"The Tunnel",95000000,"7.7"
"The Notebook",95000000,"7"
"Antarctic Edge: 70° South",95000000,"6.8"
"Take Care of My Cat",95000000,"7.1"
"Balls to the Wall",95000000,"3.8"
"Zero Day",95000000,"7.2"
"Lamb",95000000,"6.3"
"La strada di Levi",95000000,"6.4"
"A Family Affair",95000000,"5.1"
"Introducing, Selma Blair",95000000,"7.8"
"Kung Fu Joe",95000000,"2.3"
"Bending the Arc",95000000,"8"
"Apart",944149,"5.3"
"High Times Potluck",94000000,"4.8"
"Farewell Amor",94000000,"6.9"
"Tomorrow, When the War Began",94000000,"6.1"
"Red",94000000,"6.9"
"The Good Doctor",94000000,"5.5"
"Universal Soldier: Day of Reckoning",930000,"5.1"
"A Wedding Invitation",93000000,"6"
"Home of the Brave",93000000,"7.3"
"Indian Point",93000000,"6.6"
"Love at First Fight",93000000,"6.6"
"Box Elder",93000000,"7.2"
"Quiet Chaos",93000,"6.8"
"Campus Radio",92000000,"7.8"
"Cockfight",92000000,"6.2"
"Red Lights",92000000,"6.6"
"Watercolors",92000000,"6.4"
"In Another Country",900000,"6.4"
"Looking for Kitty",900000,"6"
"Leonor Will Never Die",900000,"6.6"
"Crime After Crime",900000,"7.6"
"Full Battle Rattle",900000,"6.6"
"The Miners' Hymns",900000,"7.3"
"The Invisible Fight",900000,"5.9"
"YPF",900000,"6.2"
"No Pay, Nudity",900000,"5.8"
"In the Mirror of Maya Deren",900000,"7.3"
"Hounds",900000,"6.3"
"Devils on the Doorstep",900000,"8.2"
"Vexille",900000,"6.7"
"Glitter & Doom",90000000,"6.5"
"Burden",90000000,"7"
"Special",90000000,"6.7"
"Guy and Madeline on a Park Bench",90000000,"6"
"Be Natural: The Untold Story of Alice Guy-Blaché",90000000,"7.7"
"XXY",90000000,"7"
"There Is No Evil",90000000,"7.5"
"The Conrad Boys",90000000,"5.9"
"Lunacy",90000000,"7.1"
"Beauty Remains",90000000,"5.7"
"Night Across the Street",90000000,"6.1"
"Shooting the Mafia",90000000,"6.8"
"Mongolian Ping Pong",90000000,"6.5"
"Next Exit",90000000,"5.6"
"Deliver Us",90000000,"4.8"
"The Romans",90000000,"6.2"
"Crazy Eyes",90000000,"4"
"Short Cut to Nirvana: Kumbh Mela",90000000,"7.1"
"Total Trust",90000000,"7.1"
"Broker",90000000,"7.1"
"Banel & Adama",90000000,"6.3"
"The Inheritance",90000000,"7.2"
"Elstree 1976",90000000,"5.9"
"Rebels on Pointe",90000000,"7.4"
"The Monsters Without",90000000,"4.9"
"Remembering Gene Wilder",90000000,"7.8"
"Flash Point",90000000,"6.7"
"Kill Your Idols",90000000,"6.4"
"Marwencol",90000000,"7.5"
"The Misandrists",90000000,"5"
"Charlotte Sometimes",90000000,"6.3"
"Suspended Animation",90000000,"5.3"
"Bab'Aziz: The Prince That Contemplated His Soul",90000000,"7.5"
"Keyhole",90000000,"5.4"
"Cinema Sabaya",90000000,"7.1"
"The Ground Beneath My Feet",90000000,"6.5"
"August Evening",90000000,"6.8"
"The Guillotines",90000000,"4.8"
"Marlina the Murderer in Four Acts",90000000,"6.9"
"Mojave",90000000,"5.2"
"Zero Bridge",9900000,"5.8"
"Tony Manero",9900000,"6.8"
"My Dearest Fu Bao",9900000,"7.1"
"Requiem",9800000,"6.8"
"Old Joy",9750000,"6.8"
"The Roads Not Taken",9750000,"5.2"
"The Day He Arrives",9704200,"7"
"Sia, the Dream of the Python",9700000,"6.7"
"Blessed Is the Match",9600000,"7.1"
"Body of War",9600000,"7.8"
"Still Here",9591845,"5.5"
"Cherry Blossoms",9500000,"7.6"
"Futuro Beach",9500000,"6.3"
"Vanished Empire",9500000,"6.8"
"Chicken for Linda!",9500000,"7"
"Her Majesty",9500000,"6.9"
"Genghis Khan: To the Ends of the Earth and Sea",9500000,"6.2"
"The Third Wife",9400000,"6.6"
"Roseanne for President!",9370000,"5"
"Tremors",9200000,"6.6"
"Humor Me",9000000,"6.1"
"Unnatural & Accidental",9000000,"4.7"
"November",9000000,"7.1"
"Ethan Mao",9000000,"6.1"
"Therapy for a Vampire",9000000,"6.3"
"Michael",9000000,"6.9"
"Porn Theatre",9000000,"6.1"
"Sex Is Comedy",9000000,"5.7"
"30 Years to Life",9000000,"5.9"
"Bad Grandmas",9000000,"4.6"
"Let the Little Light Shine",9000000,"7.4"
"The Price of Sugar",9000000,"7.4"
"Tamala 2010: A Punk Cat in Space",9000000,"6.4"
"Only the Animals",9000000,"7.1"
"Inch'Allah",9000000,"6.8"
"Nijinsky: The Diaries of Vaslav Nijinsky",9000000,"6.4"
"Speed-Dating",9000000,"2.8"
"The Perfect Race",9000000,"6.7"
"Stephanie Daley",9000000,"6.2"
"Italian Studies",9000000,"4.7"
"The Method",9000000,"7.1"
"Intuitions",9000000,"3.6"
"Sex Positive",9000000,"6.6"
"Vita & Virginia",9000000,"5.9"
"Horse Money",9000000,"6.9"
"Made in Cleveland",9000000,"4.7"
"California Solo",9000000,"6.2"
"Hell and Back Again",9000000,"6.4"
"The United States of Autism",9000000,"6.3"
