"genre_clean","avg_rating","movie_count"
"Sports Documentary","7.51","26"
"Anime","7.17","40"
"Documentary","7.17","1393"
"Adult Animation","7.14","36"
"Tragedy","7.10","77"
"News","7.04","37"
"Psychological Drama","6.97","80"
"Biography","6.96","625"
"History","6.95","461"
"Music","6.94","387"
"Coming-of-Age","6.92","75"
"Teen Drama","6.90","32"
"War","6.89","269"
"Docudrama","6.84","51"
"Sport","6.80","155"
"Animation","6.76","130"
"Period Drama","6.68","125"
"Psychological Thriller","6.67","52"
"True Crime","6.60","88"
"Drama","6.47","3542"
"Dark Comedy","6.45","223"
"Romantic Comedy","6.42","27"
"Crime","6.42","691"
"Family","6.40","188"
"Adventure","6.34","297"
"Romance","6.31","1184"
"Satire","6.27","94"
"Western","6.24","58"
"Martial Arts","6.18","30"
"Psychological Horror","6.17","29"
"Musical","6.17","87"
"Comedy","6.16","1561"
"Mystery","6.15","428"
"Fantasy","6.15","250"
"Thriller","6.09","911"
"Supernatural Horror","6.04","38"
"Action","6.01","464"
"Parody","5.89","48"
"Sci-Fi","5.87","183"
"Slasher Horror","5.71","28"
"Horror","5.61","355"
